gle read:2.00 | controller signal:1300.40 | 
17:37:40.986 -> angle read:24.00 | controller signal:1618.40 | 
17:37:41.021 -> angle read:25.00 | controller signal:1618.40 | 
17:37:41.091 -> angle read:23.00 | controller signal:1625.30 | 
17:37:41.126 -> angle read:24.00 | controller signal:1625.30 | 
17:37:41.160 -> angle read:24.00 | controller signal:1621.70 | 
17:37:41.229 -> angle read:23.00 | controller signal:1621.70 | 
17:37:41.263 -> angle read:24.00 | controller signal:1621.70 | 
17:37:41.332 -> angle read:23.00 | controller signal:1628.30 | 
17:37:41.365 -> angle read:24.00 | controller signal:1628.30 | 
17:37:41.435 -> angle read:24.00 | controller signal:1624.70 | 
17:37:41.470 -> angle read:24.00 | controller signal:1624.70 | 
17:37:41.505 -> angle read:24.00 | controller signal:1626.00 | 
17:37:41.575 -> angle read:24.00 | controller signal:1626.00 | 
17:37:41.610 -> angle read:24.00 | controller signal:1626.00 | 
17:37:41.680 -> angle read:24.00 | controller signal:1627.00 | 
17:37:41.715 -> angle read:24.00 | controller signal:1627.00 | 
17:37:41.784 -> angle read:23.00 | controller signal:1633.30 | 
17:37:41.819 -> angle read:23.00 | controller signal:1633.30 | 
17:37:41.888 -> angle read:24.00 | controller signal:1633.30 | 
17:37:41.923 -> angle read:24.00 | controller signal:1629.70 | 
17:37:41.958 -> angle read:24.00 | controller signal:1629.70 | 
17:37:42.028 -> angle read:24.00 | controller signal:1629.70 | 
17:37:42.063 -> angle read:24.00 | controller signal:1631.00 | 
17:37:42.132 -> angle read:24.00 | controller signal:1631.00 | 
17:37:42.167 -> angle read:24.00 | controller signal:1632.00 | 
17:37:42.237 -> angle read:24.00 | controller signal:1632.00 | 
17:37:42.272 -> angle read:24.00 | controller signal:1633.00 | 
17:37:42.306 -> angle read:24.00 | controller signal:1633.00 | 
17:37:42.376 -> angle read:24.00 | controller signal:1634.00 | 
17:37:42.410 -> angle read:24.00 | controller signal:1634.00 | 
17:37:42.478 -> angle read:24.00 | controller signal:1634.00 | 
17:37:42.513 -> angle read:25.00 | controller signal:1629.70 | 
17:37:42.583 -> angle read:25.00 | controller signal:1629.70 | 
17:37:42.618 -> angle read:24.00 | controller signal:1629.70 | 
17:37:42.688 -> angle read:24.00 | controller signal:1635.30 | 
17:37:42.723 -> angle read:24.00 | controller signal:1635.30 | 
17:37:42.758 -> angle read:24.00 | controller signal:1636.00 | 
17:37:42.827 -> angle read:24.00 | controller signal:1636.00 | 
17:37:42.861 -> angle read:24.00 | controller signal:1637.00 | 
17:37:42.931 -> angle read:24.00 | controller signal:1637.00 | 
17:37:42.966 -> angle read:24.00 | controller signal:1638.00 | 
17:37:43.036 -> angle read:24.00 | controller signal:1638.00 | 
17:37:43.070 -> angle read:24.00 | controller signal:1638.00 | 
17:37:43.105 -> angle read:24.00 | controller signal:1639.00 | 
17:37:43.175 -> angle read:24.00 | controller signal:1639.00 | 
17:37:43.210 -> angle read:24.00 | controller signal:1639.00 | 
17:37:43.279 -> angle read:24.00 | controller signal:1640.00 | 
17:37:43.314 -> angle read:24.00 | controller signal:1640.00 | 
17:37:43.384 -> angle read:23.00 | controller signal:1646.30 | 
